Full Name,Email Address,Department,Phone Number,Address
Miguel Gómez,miguel.gómez233@systech.br,TI,(41) 9798-919,"Rua Dom Pedro II 7, Curitiba/PR"
Laura Sánchez,laura.sánchez234@systech.br,Coordinador,(41) 9844-760,"Rua Machado de Assis 41, Curitiba/PR"
Luis Pérez,luis.pérez235@systech.br,Lider,(41) 9896-500,"Rua Dom Pedro I 56, Curitiba/PR"
Luis Gómez,luis.gómez236@systech.br,Gestor,(41) 9148-990,"Rua Oscar Niemeyer 24, Curitiba/PR"
Ana Martínez,ana.martínez237@systech.br,Gerente,(41) 9266-399,"Rua Juscelino Kubitschek 33, Curitiba/PR"
Lucía Martín,lucía.martín238@systech.br,Compras,(41) 9513-883,"Rua Dom Pedro II 14, Curitiba/PR"
Carlos Martínez,carlos.martínez239@systech.br,CEO,(41) 9489-907,"Rua Princesa Isabel 87, Curitiba/PR"
María Martínez,maría.martínez240@systech.br,CEO,(41) 9691-748,"Rua Dom Pedro II 2, Curitiba/PR"
Juan Fernández,juan.fernández241@systech.br,Lider,(41) 9189-959,"Rua Dom Pedro II 88, Curitiba/PR"
Lucía Díaz,lucía.díaz242@systech.br,Gerente,(41) 9222-114,"Rua Dom Pedro II 44, Curitiba/PR"
Miguel González,miguel.gonzález243@systech.br,Gerente,(41) 9863-377,"Rua Zumbi dos Palmares 95, Curitiba/PR"
Laura López,laura.lópez244@systech.br,Vendas,(41) 9652-160,"Rua Dom Pedro II 6, Curitiba/PR"
Miguel Fernández,miguel.fernández245@systech.br,Gestor,(41) 9785-927,"Rua Zumbi dos Palmares 93, Curitiba/PR"
María Sánchez,maría.sánchez246@systech.br,Gestor,(41) 9207-266,"Rua Dom Pedro II 26, Curitiba/PR"
Luis López,luis.lópez247@systech.br,Lider,(41) 9602-449,"Rua Oscar Niemeyer 57, Curitiba/PR"
Juan Martínez,juan.martínez248@systech.br,CEO,(41) 9602-392,"Rua Dom Pedro II 65, Curitiba/PR"
Laura Martínez,laura.martínez249@systech.br,Administração,(41) 9553-767,"Rua Juscelino Kubitschek 4, Curitiba/PR"
Ana Gómez,ana.gómez250@systech.br,Gestor,(41) 9136-901,"Rua Dom Pedro I 71, Curitiba/PR"
María López,maría.lópez251@systech.br,TI,(41) 9742-583,"Rua Tiradentes 73, Curitiba/PR"
Miguel Rodríguez,miguel.rodríguez252@systech.br,Coordinador,(41) 9660-522,"Rua Juscelino Kubitschek 43, Curitiba/PR"
Juan Fernández,juan.fernández253@systech.br,CEO,(41) 9589-877,"Rua Getúlio Vargas 87, Curitiba/PR"
Miguel Gómez,miguel.gómez254@systech.br,CEO,(41) 9442-616,"Rua Tiradentes 25, Curitiba/PR"
Laura Pérez,laura.pérez255@systech.br,Administração,(41) 9102-549,"Rua Juscelino Kubitschek 19, Curitiba/PR"
Sofía Martínez,sofía.martínez256@systech.br,Gerente,(41) 9303-929,"Rua Juscelino Kubitschek 39, Curitiba/PR"
Pedro Gómez,pedro.gómez257@systech.br,Gerente,(41) 9306-612,"Rua Getúlio Vargas 78, Curitiba/PR"
Lucía Sánchez,lucía.sánchez258@systech.br,Vendas,(41) 9303-655,"Rua Tiradentes 48, Curitiba/PR"
Lucía Martín,lucía.martín259@systech.br,Administração,(41) 9206-794,"Rua Princesa Isabel 20, Curitiba/PR"
Luis Pérez,luis.pérez260@systech.br,Coordinador,(41) 9597-676,"Rua Dom Pedro I 49, Curitiba/PR"
Carlos González,carlos.gonzález261@systech.br,Administração,(41) 9190-313,"Rua Juscelino Kubitschek 70, Curitiba/PR"
Miguel Sánchez,miguel.sánchez262@systech.br,Compras,(41) 9876-115,"Rua Machado de Assis 26, Curitiba/PR"
Pedro Martín,pedro.martín263@systech.br,Vendas,(41) 9248-859,"Rua Princesa Isabel 15, Curitiba/PR"
Luis Sánchez,luis.sánchez264@systech.br,Lider,(41) 9669-358,"Rua Getúlio Vargas 97, Curitiba/PR"
Sofía Martínez,sofía.martínez265@systech.br,TI,(41) 9763-697,"Rua Princesa Isabel 81, Curitiba/PR"
Miguel Sánchez,miguel.sánchez266@systech.br,Coordinador,(41) 9807-519,"Rua Oscar Niemeyer 78, Curitiba/PR"
Laura Gómez,laura.gómez267@systech.br,Compras,(41) 9535-646,"Rua Juscelino Kubitschek 94, Curitiba/PR"
Ana Martín,ana.martín268@systech.br,Administração,(41) 9907-516,"Rua Oscar Niemeyer 5, Curitiba/PR"
María Martín,maría.martín269@systech.br,Coordinador,(41) 9797-259,"Rua Machado de Assis 57, Curitiba/PR"
Juan González,juan.gonzález270@systech.br,CEO,(41) 9121-508,"Rua Getúlio Vargas 59, Curitiba/PR"
Miguel Martínez,miguel.martínez271@systech.br,Vendas,(41) 9291-541,"Rua Dom Pedro I 83, Curitiba/PR"
María Fernández,maría.fernández272@systech.br,Vendas,(41) 9735-225,"Rua Oscar Niemeyer 74, Curitiba/PR"
Carlos Gómez,carlos.gómez273@systech.br,Administração,(41) 9211-247,"Rua Princesa Isabel 43, Curitiba/PR"
Lucía Rodríguez,lucía.rodríguez274@systech.br,TI,(41) 9709-658,"Rua Getúlio Vargas 37, Curitiba/PR"
Carlos Martín,carlos.martín275@systech.br,CEO,(41) 9936-783,"Rua Tiradentes 4, Curitiba/PR"
Juan López,juan.lópez276@systech.br,Coordinador,(41) 9677-414,"Rua Dom Pedro I 17, Curitiba/PR"
Carlos Martínez,carlos.martínez277@systech.br,Gerente,(41) 9521-939,"Rua Princesa Isabel 53, Curitiba/PR"
Sofía Martínez,sofía.martínez278@systech.br,TI,(41) 9784-808,"Rua Dom Pedro I 9, Curitiba/PR"
María Fernández,maría.fernández279@systech.br,Gestor,(41) 9691-882,"Rua Juscelino Kubitschek 13, Curitiba/PR"
Juan Rodríguez,juan.rodríguez280@systech.br,Vendas,(41) 9306-365,"Rua Machado de Assis 88, Curitiba/PR"
Carlos Martín,carlos.martín281@systech.br,Lider,(41) 9857-344,"Rua Princesa Isabel 91, Curitiba/PR"
María Martín,maría.martín282@systech.br,TI,(41) 9935-118,"Rua Juscelino Kubitschek 48, Curitiba/PR"
Luis Fernández,luis.fernández283@systech.br,Administração,(41) 9604-328,"Rua Zumbi dos Palmares 24, Curitiba/PR"
Sofía Pérez,sofía.pérez284@systech.br,Gerente,(41) 9796-558,"Rua Chico Mendes 21, Curitiba/PR"
Miguel Martín,miguel.martín285@systech.br,Compras,(41) 9439-566,"Rua Dom Pedro II 84, Curitiba/PR"
Pedro Sánchez,pedro.sánchez286@systech.br,Gestor,(41) 9120-845,"Rua Juscelino Kubitschek 92, Curitiba/PR"
Pedro Fernández,pedro.fernández287@systech.br,Gestor,(41) 9622-102,"Rua Getúlio Vargas 4, Curitiba/PR"
Luis Fernández,luis.fernández288@systech.br,TI,(41) 9822-645,"Rua Dom Pedro II 94, Curitiba/PR"
María Rodríguez,maría.rodríguez289@systech.br,Compras,(41) 9599-599,"Rua Oscar Niemeyer 95, Curitiba/PR"
Carlos Gómez,carlos.gómez290@systech.br,TI,(41) 9628-521,"Rua Oscar Niemeyer 39, Curitiba/PR"
Pedro Gómez,pedro.gómez291@systech.br,Compras,(41) 9764-401,"Rua Princesa Isabel 21, Curitiba/PR"
Miguel Gómez,miguel.gómez292@systech.br,Gestor,(41) 9622-472,"Rua Tiradentes 38, Curitiba/PR"
Lucía Sánchez,lucía.sánchez293@systech.br,CEO,(41) 9733-835,"Rua Machado de Assis 76, Curitiba/PR"
Miguel Sánchez,miguel.sánchez294@systech.br,Coordinador,(41) 9366-334,"Rua Chico Mendes 24, Curitiba/PR"
Miguel Rodríguez,miguel.rodríguez295@systech.br,Lider,(41) 9757-951,"Rua Tiradentes 90, Curitiba/PR"
Juan Fernández,juan.fernández296@systech.br,TI,(41) 9436-474,"Rua Tiradentes 40, Curitiba/PR"
Miguel González,miguel.gonzález297@systech.br,Lider,(41) 9370-362,"Rua Chico Mendes 48, Curitiba/PR"
Luis López,luis.lópez298@systech.br,Administração,(41) 9325-685,"Rua Dom Pedro I 14, Curitiba/PR"
Lucía Sánchez,lucía.sánchez299@systech.br,Lider,(41) 9168-425,"Rua Dom Pedro I 23, Curitiba/PR"
Carlos Fernández,carlos.fernández300@systech.br,Coordinador,(41) 9880-585,"Rua Princesa Isabel 89, Curitiba/PR"
Laura González,laura.gonzález301@systech.br,Compras,(41) 9851-259,"Rua Juscelino Kubitschek 58, Curitiba/PR"
Carlos Rodríguez,carlos.rodríguez302@systech.br,Compras,(41) 9596-547,"Rua Dom Pedro II 9, Curitiba/PR"
María Fernández,maría.fernández303@systech.br,Administração,(41) 9851-814,"Rua Machado de Assis 51, Curitiba/PR"
Sofía Pérez,sofía.pérez304@systech.br,Gestor,(41) 9392-223,"Rua Princesa Isabel 31, Curitiba/PR"
Laura Díaz,laura.díaz305@systech.br,TI,(41) 9245-779,"Rua Dom Pedro I 88, Curitiba/PR"
Lucía Fernández,lucía.fernández306@systech.br,Gestor,(41) 9825-752,"Rua Princesa Isabel 96, Curitiba/PR"
Luis López,luis.lópez307@systech.br,Lider,(41) 9206-919,"Rua Tiradentes 70, Curitiba/PR"
Carlos Fernández,carlos.fernández308@systech.br,Gestor,(41) 9678-702,"Rua Dom Pedro I 87, Curitiba/PR"
Juan Sánchez,juan.sánchez309@systech.br,Gestor,(41) 9767-793,"Rua Oscar Niemeyer 51, Curitiba/PR"
Pedro López,pedro.lópez310@systech.br,Compras,(41) 9585-687,"Rua Chico Mendes 47, Curitiba/PR"
Juan Gómez,juan.gómez311@systech.br,Coordinador,(41) 9588-369,"Rua Getúlio Vargas 38, Curitiba/PR"
Sofía López,sofía.lópez312@systech.br,CEO,(41) 9998-711,"Rua Oscar Niemeyer 22, Curitiba/PR"
Pedro Rodríguez,pedro.rodríguez313@systech.br,Coordinador,(41) 9124-104,"Rua Oscar Niemeyer 17, Curitiba/PR"
Laura Martínez,laura.martínez314@systech.br,Vendas,(41) 9464-873,"Rua Tiradentes 33, Curitiba/PR"
Miguel Martín,miguel.martín315@systech.br,CEO,(41) 9275-457,"Rua Dom Pedro II 80, Curitiba/PR"
Carlos González,carlos.gonzález316@systech.br,Compras,(41) 9361-544,"Rua Princesa Isabel 59, Curitiba/PR"
Lucía Sánchez,lucía.sánchez317@systech.br,Coordinador,(41) 9350-652,"Rua Getúlio Vargas 3, Curitiba/PR"
Miguel Martínez,miguel.martínez318@systech.br,Compras,(41) 9286-717,"Rua Tiradentes 66, Curitiba/PR"
Pedro Fernández,pedro.fernández319@systech.br,Gestor,(41) 9920-596,"Rua Princesa Isabel 12, Curitiba/PR"
Sofía Martínez,sofía.martínez320@systech.br,Lider,(41) 9903-469,"Rua Machado de Assis 72, Curitiba/PR"
Sofía Díaz,sofía.díaz321@systech.br,Coordinador,(41) 9183-708,"Rua Dom Pedro I 20, Curitiba/PR"
Juan Martínez,juan.martínez322@systech.br,Coordinador,(41) 9352-495,"Rua Princesa Isabel 36, Curitiba/PR"
Ana López,ana.lópez323@systech.br,TI,(41) 9301-568,"Rua Dom Pedro I 16, Curitiba/PR"
María Martín,maría.martín324@systech.br,Vendas,(41) 9525-846,"Rua Princesa Isabel 5, Curitiba/PR"
Miguel Martínez,miguel.martínez325@systech.br,Compras,(41) 9243-476,"Rua Princesa Isabel 20, Curitiba/PR"
Juan González,juan.gonzález326@systech.br,Vendas,(41) 9174-395,"Rua Dom Pedro I 31, Curitiba/PR"
Pedro Sánchez,pedro.sánchez327@systech.br,CEO,(41) 9756-497,"Rua Dom Pedro I 13, Curitiba/PR"
Pedro Díaz,pedro.díaz328@systech.br,Compras,(41) 9868-774,"Rua Juscelino Kubitschek 66, Curitiba/PR"
Laura Fernández,laura.fernández329@systech.br,CEO,(41) 9682-941,"Rua Dom Pedro I 58, Curitiba/PR"
Ana Martínez,ana.martínez330@systech.br,Gestor,(41) 9610-726,"Rua Oscar Niemeyer 70, Curitiba/PR"
Sofía Martínez,sofía.martínez331@systech.br,TI,(41) 9400-469,"Rua Machado de Assis 46, Curitiba/PR"
Juan Martín,juan.martín332@systech.br,Vendas,(41) 9453-547,"Rua Getúlio Vargas 47, Curitiba/PR"
Sofía López,sofía.lópez333@systech.br,Gerente,(41) 9297-181,"Rua Dom Pedro II 19, Curitiba/PR"
María Pérez,maría.pérez334@systech.br,Gestor,(41) 9429-993,"Rua Princesa Isabel 62, Curitiba/PR"
Pedro Sánchez,pedro.sánchez335@systech.br,Administração,(41) 9982-590,"Rua Oscar Niemeyer 47, Curitiba/PR"
Laura Gómez,laura.gómez336@systech.br,Vendas,(41) 9394-973,"Rua Oscar Niemeyer 82, Curitiba/PR"
Juan Sánchez,juan.sánchez337@systech.br,TI,(41) 9887-217,"Rua Tiradentes 47, Curitiba/PR"
Miguel Martín,miguel.martín338@systech.br,CEO,(41) 9333-161,"Rua Zumbi dos Palmares 67, Curitiba/PR"
Ana Fernández,ana.fernández339@systech.br,Administração,(41) 9509-427,"Rua Dom Pedro I 68, Curitiba/PR"
María Martín,maría.martín340@systech.br,Gestor,(41) 9534-741,"Rua Chico Mendes 89, Curitiba/PR"
Luis Martínez,luis.martínez341@systech.br,CEO,(41) 9640-748,"Rua Tiradentes 52, Curitiba/PR"
Pedro Martín,pedro.martín342@systech.br,Gerente,(41) 9994-586,"Rua Machado de Assis 52, Curitiba/PR"
Carlos González,carlos.gonzález343@systech.br,Gerente,(41) 9351-382,"Rua Princesa Isabel 57, Curitiba/PR"
Sofía Martínez,sofía.martínez344@systech.br,Gestor,(41) 9800-265,"Rua Dom Pedro I 59, Curitiba/PR"
Laura Sánchez,laura.sánchez345@systech.br,Coordinador,(41) 9770-260,"Rua Juscelino Kubitschek 75, Curitiba/PR"
Lucía Martínez,lucía.martínez346@systech.br,Coordinador,(41) 9754-975,"Rua Oscar Niemeyer 77, Curitiba/PR"
Laura Sánchez,laura.sánchez347@systech.br,Coordinador,(41) 9726-781,"Rua Zumbi dos Palmares 82, Curitiba/PR"
Laura Pérez,laura.pérez348@systech.br,Administração,(41) 9739-701,"Rua Dom Pedro II 62, Curitiba/PR"
Pedro Díaz,pedro.díaz349@systech.br,Vendas,(41) 9136-223,"Rua Oscar Niemeyer 100, Curitiba/PR"
María González,maría.gonzález350@systech.br,Compras,(41) 9300-863,"Rua Dom Pedro II 41, Curitiba/PR"
Miguel Pérez,miguel.pérez351@systech.br,Lider,(41) 9607-478,"Rua Princesa Isabel 5, Curitiba/PR"
Ana González,ana.gonzález352@systech.br,Administração,(41) 9189-319,"Rua Tiradentes 22, Curitiba/PR"
María Díaz,maría.díaz353@systech.br,Gerente,(41) 9793-816,"Rua Dom Pedro II 40, Curitiba/PR"
Pedro Díaz,pedro.díaz354@systech.br,Coordinador,(41) 9546-137,"Rua Oscar Niemeyer 61, Curitiba/PR"
María Martínez,maría.martínez355@systech.br,Coordinador,(41) 9148-693,"Rua Tiradentes 75, Curitiba/PR"
Laura Pérez,laura.pérez356@systech.br,TI,(41) 9952-601,"Rua Getúlio Vargas 92, Curitiba/PR"
Miguel González,miguel.gonzález357@systech.br,Lider,(41) 9541-385,"Rua Oscar Niemeyer 87, Curitiba/PR"
Laura Pérez,laura.pérez358@systech.br,CEO,(41) 9485-212,"Rua Chico Mendes 7, Curitiba/PR"
Ana Díaz,ana.díaz359@systech.br,Vendas,(41) 9508-988,"Rua Princesa Isabel 30, Curitiba/PR"
Carlos Fernández,carlos.fernández360@systech.br,Compras,(41) 9440-157,"Rua Zumbi dos Palmares 6, Curitiba/PR"
Lucía Gómez,lucía.gómez361@systech.br,Lider,(41) 9552-211,"Rua Zumbi dos Palmares 86, Curitiba/PR"
María Fernández,maría.fernández362@systech.br,Compras,(41) 9724-625,"Rua Dom Pedro I 71, Curitiba/PR"
Juan Martínez,juan.martínez363@systech.br,CEO,(41) 9291-902,"Rua Machado de Assis 87, Curitiba/PR"
Ana Martínez,ana.martínez364@systech.br,Lider,(41) 9115-679,"Rua Chico Mendes 65, Curitiba/PR"
Juan Pérez,juan.pérez365@systech.br,Administração,(41) 9538-128,"Rua Oscar Niemeyer 26, Curitiba/PR"
Laura Díaz,laura.díaz366@systech.br,Gerente,(41) 9130-262,"Rua Zumbi dos Palmares 2, Curitiba/PR"
Ana González,ana.gonzález367@systech.br,Gerente,(41) 9424-267,"Rua Machado de Assis 98, Curitiba/PR"
Pedro Martín,pedro.martín368@systech.br,Gerente,(41) 9415-965,"Rua Dom Pedro II 56, Curitiba/PR"
Juan López,juan.lópez369@systech.br,TI,(41) 9812-663,"Rua Zumbi dos Palmares 95, Curitiba/PR"
Lucía Sánchez,lucía.sánchez370@systech.br,Gestor,(41) 9207-829,"Rua Juscelino Kubitschek 34, Curitiba/PR"
Sofía Martínez,sofía.martínez371@systech.br,Vendas,(41) 9547-310,"Rua Getúlio Vargas 66, Curitiba/PR"
Miguel Gómez,miguel.gómez372@systech.br,Administração,(41) 9904-893,"Rua Machado de Assis 39, Curitiba/PR"
Juan González,juan.gonzález373@systech.br,Lider,(41) 9247-363,"Rua Machado de Assis 10, Curitiba/PR"
Miguel González,miguel.gonzález374@systech.br,Gestor,(41) 9590-580,"Rua Dom Pedro II 15, Curitiba/PR"
Juan Pérez,juan.pérez375@systech.br,Gerente,(41) 9482-567,"Rua Juscelino Kubitschek 27, Curitiba/PR"
Laura Díaz,laura.díaz376@systech.br,CEO,(41) 9677-386,"Rua Princesa Isabel 39, Curitiba/PR"
Juan Díaz,juan.díaz377@systech.br,CEO,(41) 9885-546,"Rua Oscar Niemeyer 37, Curitiba/PR"
María Gómez,maría.gómez378@systech.br,Coordinador,(41) 9490-451,"Rua Dom Pedro I 46, Curitiba/PR"
Sofía Pérez,sofía.pérez379@systech.br,Administração,(41) 9385-147,"Rua Machado de Assis 30, Curitiba/PR"
Sofía Sánchez,sofía.sánchez380@systech.br,Administração,(41) 9768-322,"Rua Zumbi dos Palmares 84, Curitiba/PR"
Luis Martín,luis.martín381@systech.br,Vendas,(41) 9816-139,"Rua Juscelino Kubitschek 36, Curitiba/PR"
Miguel Fernández,miguel.fernández382@systech.br,Gestor,(41) 9625-554,"Rua Chico Mendes 10, Curitiba/PR"
Juan Fernández,juan.fernández383@systech.br,Gestor,(41) 9789-381,"Rua Princesa Isabel 87, Curitiba/PR"
Miguel Martín,miguel.martín384@systech.br,CEO,(41) 9716-508,"Rua Oscar Niemeyer 80, Curitiba/PR"
Carlos González,carlos.gonzález385@systech.br,Gerente,(41) 9612-131,"Rua Princesa Isabel 61, Curitiba/PR"
María Martínez,maría.martínez386@systech.br,Compras,(41) 9658-356,"Rua Dom Pedro I 92, Curitiba/PR"
María Rodríguez,maría.rodríguez387@systech.br,Gerente,(41) 9300-922,"Rua Dom Pedro II 62, Curitiba/PR"
Sofía Martín,sofía.martín388@systech.br,Vendas,(41) 9859-130,"Rua Zumbi dos Palmares 97, Curitiba/PR"
Miguel Rodríguez,miguel.rodríguez389@systech.br,Vendas,(41) 9294-856,"Rua Oscar Niemeyer 33, Curitiba/PR"
Laura Díaz,laura.díaz390@systech.br,Compras,(41) 9876-453,"Rua Oscar Niemeyer 67, Curitiba/PR"
Carlos González,carlos.gonzález391@systech.br,Lider,(41) 9586-854,"Rua Machado de Assis 70, Curitiba/PR"
Lucía Sánchez,lucía.sánchez392@systech.br,Gerente,(41) 9547-777,"Rua Dom Pedro II 75, Curitiba/PR"
Ana Fernández,ana.fernández393@systech.br,CEO,(41) 9854-477,"Rua Oscar Niemeyer 13, Curitiba/PR"
Laura Gómez,laura.gómez394@systech.br,Lider,(41) 9320-592,"Rua Juscelino Kubitschek 17, Curitiba/PR"
Ana Gómez,ana.gómez395@systech.br,Administração,(41) 9500-197,"Rua Chico Mendes 48, Curitiba/PR"
Lucía Martín,lucía.martín396@systech.br,Gerente,(41) 9203-774,"Rua Dom Pedro II 78, Curitiba/PR"
Ana Sánchez,ana.sánchez397@systech.br,Compras,(41) 9555-708,"Rua Tiradentes 26, Curitiba/PR"
Pedro Díaz,pedro.díaz398@systech.br,Lider,(41) 9745-324,"Rua Dom Pedro I 28, Curitiba/PR"
Lucía Rodríguez,lucía.rodríguez399@systech.br,Vendas,(41) 9321-749,"Rua Juscelino Kubitschek 36, Curitiba/PR"
Sofía González,sofía.gonzález400@systech.br,CEO,(41) 9756-962,"Rua Zumbi dos Palmares 25, Curitiba/PR"
Sofía Martínez,sofía.martínez401@systech.br,Lider,(41) 9480-509,"Rua Getúlio Vargas 76, Curitiba/PR"
Ana Sánchez,ana.sánchez402@systech.br,Compras,(41) 9137-438,"Rua Dom Pedro I 40, Curitiba/PR"
Sofía Martín,sofía.martín403@systech.br,TI,(41) 9769-804,"Rua Dom Pedro I 64, Curitiba/PR"
Juan Díaz,juan.díaz404@systech.br,Gerente,(41) 9709-529,"Rua Chico Mendes 22, Curitiba/PR"
Pedro Pérez,pedro.pérez405@systech.br,Administração,(41) 9602-287,"Rua Machado de Assis 57, Curitiba/PR"
Lucía Martínez,lucía.martínez406@systech.br,Gerente,(41) 9456-478,"Rua Oscar Niemeyer 13, Curitiba/PR"
Juan Fernández,juan.fernández407@systech.br,Coordinador,(41) 9261-317,"Rua Oscar Niemeyer 32, Curitiba/PR"
Juan López,juan.lópez408@systech.br,Gestor,(41) 9571-357,"Rua Machado de Assis 75, Curitiba/PR"
Laura Fernández,laura.fernández409@systech.br,Gestor,(41) 9757-655,"Rua Chico Mendes 30, Curitiba/PR"
Pedro Sánchez,pedro.sánchez410@systech.br,Coordinador,(41) 9920-406,"Rua Tiradentes 47, Curitiba/PR"
Ana Martín,ana.martín411@systech.br,Vendas,(41) 9994-812,"Rua Tiradentes 18, Curitiba/PR"
Sofía Gómez,sofía.gómez412@systech.br,TI,(41) 9628-386,"Rua Princesa Isabel 87, Curitiba/PR"
Juan Martínez,juan.martínez413@systech.br,Lider,(41) 9158-434,"Rua Tiradentes 73, Curitiba/PR"
Lucía Rodríguez,lucía.rodríguez414@systech.br,Vendas,(41) 9376-288,"Rua Oscar Niemeyer 69, Curitiba/PR"
Pedro Pérez,pedro.pérez415@systech.br,Administração,(41) 9526-915,"Rua Dom Pedro I 15, Curitiba/PR"
Carlos Gómez,carlos.gómez416@systech.br,Coordinador,(41) 9204-757,"Rua Machado de Assis 84, Curitiba/PR"
Lucía Díaz,lucía.díaz417@systech.br,Administração,(41) 9819-499,"Rua Machado de Assis 2, Curitiba/PR"
Carlos Pérez,carlos.pérez418@systech.br,Gestor,(41) 9341-131,"Rua Chico Mendes 21, Curitiba/PR"
Juan Gómez,juan.gómez419@systech.br,Gerente,(41) 9866-802,"Rua Machado de Assis 100, Curitiba/PR"
Laura González,laura.gonzález420@systech.br,Compras,(41) 9493-348,"Rua Juscelino Kubitschek 9, Curitiba/PR"
Carlos Díaz,carlos.díaz421@systech.br,Coordinador,(41) 9537-414,"Rua Chico Mendes 84, Curitiba/PR"
Ana Sánchez,ana.sánchez422@systech.br,CEO,(41) 9794-452,"Rua Machado de Assis 12, Curitiba/PR"
Juan Pérez,juan.pérez423@systech.br,Coordinador,(41) 9374-436,"Rua Tiradentes 79, Curitiba/PR"
Luis Pérez,luis.pérez424@systech.br,Vendas,(41) 9214-498,"Rua Zumbi dos Palmares 46, Curitiba/PR"
Juan Gómez,juan.gómez425@systech.br,Compras,(41) 9795-363,"Rua Chico Mendes 73, Curitiba/PR"
Pedro Sánchez,pedro.sánchez426@systech.br,Gestor,(41) 9986-258,"Rua Juscelino Kubitschek 70, Curitiba/PR"
Carlos Sánchez,carlos.sánchez427@systech.br,Compras,(41) 9812-324,"Rua Getúlio Vargas 94, Curitiba/PR"
Ana Martínez,ana.martínez428@systech.br,CEO,(41) 9265-890,"Rua Chico Mendes 21, Curitiba/PR"
Sofía Gómez,sofía.gómez429@systech.br,Compras,(41) 9536-891,"Rua Juscelino Kubitschek 73, Curitiba/PR"
Pedro Gómez,pedro.gómez430@systech.br,Compras,(41) 9251-924,"Rua Princesa Isabel 23, Curitiba/PR"
Miguel Gómez,miguel.gómez431@systech.br,Coordinador,(41) 9548-185,"Rua Getúlio Vargas 34, Curitiba/PR"
Juan López,juan.lópez432@systech.br,Vendas,(41) 9295-426,"Rua Tiradentes 97, Curitiba/PR"
María Rodríguez,maría.rodríguez433@systech.br,Lider,(41) 9722-808,"Rua Dom Pedro II 49, Curitiba/PR"
Lucía Pérez,lucía.pérez434@systech.br,Coordinador,(41) 9842-833,"Rua Chico Mendes 47, Curitiba/PR"
Juan Rodríguez,juan.rodríguez435@systech.br,Administração,(41) 9562-594,"Rua Tiradentes 30, Curitiba/PR"
Luis González,luis.gonzález436@systech.br,Gestor,(41) 9763-406,"Rua Getúlio Vargas 26, Curitiba/PR"
Luis López,luis.lópez437@systech.br,Administração,(41) 9353-398,"Rua Chico Mendes 21, Curitiba/PR"
Carlos Sánchez,carlos.sánchez438@systech.br,Compras,(41) 9280-651,"Rua Getúlio Vargas 23, Curitiba/PR"
Pedro Sánchez,pedro.sánchez439@systech.br,Coordinador,(41) 9436-431,"Rua Princesa Isabel 69, Curitiba/PR"
Laura Fernández,laura.fernández440@systech.br,Administração,(41) 9815-943,"Rua Princesa Isabel 70, Curitiba/PR"
Ana Díaz,ana.díaz441@systech.br,TI,(41) 9604-418,"Rua Princesa Isabel 60, Curitiba/PR"
Miguel Martín,miguel.martín442@systech.br,Gestor,(41) 9936-860,"Rua Machado de Assis 25, Curitiba/PR"
Pedro González,pedro.gonzález443@systech.br,Gerente,(41) 9467-391,"Rua Tiradentes 84, Curitiba/PR"
Laura López,laura.lópez444@systech.br,Gestor,(41) 9181-773,"Rua Dom Pedro I 12, Curitiba/PR"
Luis Díaz,luis.díaz445@systech.br,Lider,(41) 9241-514,"Rua Dom Pedro I 2, Curitiba/PR"
Pedro Rodríguez,pedro.rodríguez446@systech.br,Vendas,(41) 9387-491,"Rua Zumbi dos Palmares 40, Curitiba/PR"
María Rodríguez,maría.rodríguez447@systech.br,Lider,(41) 9606-549,"Rua Machado de Assis 51, Curitiba/PR"
Sofía Martín,sofía.martín448@systech.br,Vendas,(41) 9713-119,"Rua Juscelino Kubitschek 41, Curitiba/PR"
Pedro Fernández,pedro.fernández449@systech.br,Lider,(41) 9836-988,"Rua Dom Pedro I 31, Curitiba/PR"
Ana Pérez,ana.pérez450@systech.br,Administração,(41) 9215-267,"Rua Machado de Assis 71, Curitiba/PR"
Miguel Martín,miguel.martín451@systech.br,Gerente,(41) 9521-356,"Rua Oscar Niemeyer 15, Curitiba/PR"
Pedro González,pedro.gonzález452@systech.br,Compras,(41) 9791-358,"Rua Princesa Isabel 5, Curitiba/PR"
Lucía Rodríguez,lucía.rodríguez453@systech.br,Gestor,(41) 9695-554,"Rua Dom Pedro II 28, Curitiba/PR"
Juan Rodríguez,juan.rodríguez454@systech.br,Coordinador,(41) 9526-231,"Rua Oscar Niemeyer 44, Curitiba/PR"
Carlos López,carlos.lópez455@systech.br,Gerente,(41) 9713-452,"Rua Princesa Isabel 28, Curitiba/PR"
Luis López,luis.lópez456@systech.br,Vendas,(41) 9484-719,"Rua Dom Pedro II 79, Curitiba/PR"
Pedro Martínez,pedro.martínez457@systech.br,Gerente,(41) 9173-359,"Rua Tiradentes 32, Curitiba/PR"
María Fernández,maría.fernández458@systech.br,Coordinador,(41) 9273-385,"Rua Dom Pedro II 21, Curitiba/PR"
Carlos Gómez,carlos.gómez459@systech.br,TI,(41) 9133-666,"Rua Dom Pedro II 93, Curitiba/PR"
Laura López,laura.lópez460@systech.br,Administração,(41) 9278-988,"Rua Dom Pedro II 61, Curitiba/PR"
Luis Martín,luis.martín461@systech.br,Administração,(41) 9500-855,"Rua Princesa Isabel 85, Curitiba/PR"
Ana Díaz,ana.díaz462@systech.br,Coordinador,(41) 9217-309,"Rua Princesa Isabel 27, Curitiba/PR"
